section,question,option,answer,correct answer,translation
듣기,16,1,성인이라야 이 사이트를 이용할 수 있다.,0,Only adults can use this site.
듣기,16,2,무료 회원은 외국어 강좌를 들을 수 없다.,0,Free members are not allowed to take foreign language courses.
듣기,16,3,메월 20000원을 내면 외국어 강좌 하나를 들을 수 있다.,0,"You can take a foreign language course for 20,000 won per month."
듣기,16,4,누구나 가입만 하면 상품 구매 시 할인 혜택을 받을 수 있다.,1,Anyone can get a discount when purchasing a product by simply signing up.
듣기,17,1,외식비를 줄이면 생활비를 아낄 수 있다.,0,Reducing the cost of eating out can save the cost of living.
듣기,17,2,외식을 하는 게 아이들 교육에도 도움이 된다.,0,Eating out is also helpful for children's education.
듣기,17,3,동이 더 들어도 아이들과 추억을 만드는 게 좋다.,1,It is better to make memories with children even if it is more dawn.
듣기,17,4,아이들이 크면 부모와 외식하는 것을 싫어하게 된다.,0,"When children grow up, they hate eating out with their parents."
듣기,18,1,요즘은 김치를 사다 먹는 것도 괜찮다.,1,"Nowadays, it is okay to buy kimchi and eat it."
듣기,18,2,마트에 가면 한 번에 많이 사는 게 좋다.,0,"If you go to the mart, it's better to buy a lot at once."
듣기,18,3,김치는 가족들과 함게 담가야 맛이 있다.,0,Kimchi tastes good when you make it with your family.
듣기,18,4,깁치를 감다 먹으면 비용을 절약 할 수 있다.,0,You can save money by wrapping a cast.
듣기,19,1,경기장의 쓰레기는 직원들이 치워야 한다.,0,The garbage in the stadium should be cleaned up by the staff.
듣기,19,2,관람객 스스로 경기장에 깨끗하개 사용해야 한다.,0,Visitors should use clean ones in the stadium themselves.
듣기,19,3,경기가 끝나도 경기장에서 빨리 나갈 필요는 없다.,1,You don't have to leave the stadium quickly even after the game.
듣기,19,4,경기를 즐겁게 관람하려면 쓰레기부터 치워야 한다.,0,"If you want to enjoy watching the game, you have to clean up the trash first."
듣기,20,1,몸이 무거우면 하루 종일 자는 게 좋다.,0,"If your body is heavy, you'd better sleep all day."
듣기,20,2,취미 활동을 하고 나면 잠을 푹 자게 된다.,0,"After doing hobby activities, I get a good night's sleep."
듣기,20,3,스트레스가 없어야 피로를 회복할 수 있다.,0,You can recover from fatigue without stress.
듣기,20,4,피로 회복을 위해서는 적당한 활동이 필요하다.,1,Moderate activity is needed to recover from fatigue.
,,,,,
,,,,,
,,,,,
,,,,,
